link,title,view,danmu,author
https://www.bilibili.com/video/av55443085,【党妹】三十变十三！毕业季必须拥有的芒果系JK妆容，成为甜甜山吹女孩！,607.6万,17.9万,机智的党妹
https://www.bilibili.com/video/av62420861,【党妹】猛男变妹？40℃高温下在上海五所高校拍16套制服穿搭时需要化的妆,416.9万,8.9万,机智的党妹
https://www.bilibili.com/video/av62637356,钢铁直女第一次穿漏肩衫 当场崩溃 好羞耻,384.6万,4.9万,假美食po主
https://www.bilibili.com/video/av59755952,美妆博主被偷4w化妆品？00后室友被我送进警局？租房血泪总结【Hania】,350.0万,1.6万,前进的Hania
https://www.bilibili.com/video/av63236429,给男朋友画李现的仿妆！画完感觉就是李现本人！,312.0万,1.6万,女胖胖
https://www.bilibili.com/video/av55748113,法式少女妆｜关于我对法国文艺电影的幻想_做一天的洛丽塔,170.6万,6048,朵朵花林
https://www.bilibili.com/video/av56105923,德国真人芭比，也太漂亮了吧。,152.5万,1320,够拽就行
https://www.bilibili.com/video/av61545437,今天尝试一下年轻人喜欢的锡纸烫，有变年轻吗,151.9万,2422,鮀城大叔
https://www.bilibili.com/video/av64648470,长了一张&quot;小三脸&quot;是什么经历|被问多少钱？  by青云红衅,150.0万,3820,青云红衅
https://www.bilibili.com/video/av64897616,洋垃圾品牌大扒皮 想来赚中国人的钱先学会尊重我们吧【星星】,142.0万,5003,RachelR星星
https://www.bilibili.com/video/av58792267,挑战-体验评分最低美妆服务,127.0万,8519,胡老吃
https://www.bilibili.com/video/av55758060,直男第一次穿Lolita 老爸反应一言难尽 红发腮红妆 染发 搞笑,123.3万,5.3万,假美食po主
https://www.bilibili.com/video/av64446097,毛戈平亲手帮我改妆？大妈变少女，整容级化妆术！,120.9万,6986,深夜徐老师
https://www.bilibili.com/video/av61074462,钢铁直女穿着Lo装滑着滑板去超市买可乐 被问是什么打扮 夏日草莓元气妆容,120.5万,2.0万,假美食po主
https://www.bilibili.com/video/av55908001,【易烫】我花了一万块在毛戈平学校学习了逆天回春上镜塑颜大法？,120.3万,3587,易烫YCC
https://www.bilibili.com/video/av57367344,【晴晴】学了四个月花费5万+的特效化妆能做到什么【结业设计：白骨夫人】,119.4万,4943,o小庄o
https://www.bilibili.com/video/av61741250,这就是李佳琪说的高级的颜色？|欧莱雅小钢笔129|试色,118.2万,755,_saysay
https://www.bilibili.com/video/av60581649,【韩国女团化妆vlog】我找到了给韩国女团操刀“换脸”的神仙手！两千块一个妆到底值不值？！！,116.0万,5448,痣多馨Koko
https://www.bilibili.com/video/av55891180,8个技巧立马让你脸更好看【让下颚线变得更明显】,114.1万,7820,郝给力
https://www.bilibili.com/video/av63089187,工作人员居然偷我东西！水光针居然也有这么大坑！我报警维权了！,110.6万,3812,付曦冉
https://www.bilibili.com/video/av56850959,想烫羊毛卷的姐妹们进来 让你死心,110.1万,2966,汐酱汁捞饭
https://www.bilibili.com/video/av57967853,【5分钟】教你快速毁灭黑头！这么做，活该鼻子成蜂窝！,106.0万,3040,马戏糍
https://www.bilibili.com/video/av58810287,杀马特妆容教学,105.4万,5.7万,花少北丶
https://www.bilibili.com/video/av57327237,今日A爆全场! 轻欧美攻气妆容 军装风lo 断眉皮手套哥特风,103.1万,2.5万,假美食po主
https://www.bilibili.com/video/av64426499,男生变帅教程！真的是一个人!谈谈我是怎么变帅的吧。（本视频涉及正畸，护肤，化妆，配饰，发型）,101.7万,1457,tsrtv
https://www.bilibili.com/video/av55821145,肥曈 | 暴躁种草 平价粉底/护肤/牛仔裤/生活用品,98.3万,1.7万,活蹦乱跳的肥曈
https://www.bilibili.com/video/av64239555,这可能是你从未见过的恐怖粉刺,98.1万,140,怪人找未来Q
https://www.bilibili.com/video/av55971702,上学瞒着父母去做了下颌角，颧骨，双眼皮手术，回家都不认识自己了,97.2万,602,整形热搜君
https://www.bilibili.com/video/av55217908,【党妹神颜欣赏】看到封面你还信吗！,90.6万,1705,游在森林的鱼啦
https://www.bilibili.com/video/av54683453,去你的国货不行就要认！国货挺好！,90.6万,8778,雀斑一针
https://www.bilibili.com/video/av65674448,姐姐给胖弟弟化妆 弟弟中途情感爆发 哭了好几次,88.2万,7788,假美食po主
https://www.bilibili.com/video/av64599355,化妆师钦点 超好用的化妆神器！揭秘我的化妆包里有什么！,87.3万,5180,笑cry的小仙爷
https://www.bilibili.com/video/av55386999,肥曈 | 雷品吐槽 痛彻心扉 与我八字不合的产品们,86.3万,1.5万,活蹦乱跳的肥曈
https://www.bilibili.com/video/av56329434,我竟然买了粉丝劝我千万别买的口红【nya酱】,83.6万,2.6万,nya酱的一生
https://www.bilibili.com/video/av64117783,【小丽】边化妆边聊天 读豆瓣小组对我的扒皮 &amp; 橘色系妆容 锡纸烫爆炸头初体验,83.0万,2.3万,GLR_G
https://www.bilibili.com/video/av66009924,深扒月销10万＋的白菜价美白精华，到底有多少猫腻？,81.0万,2708,老爸评测
https://www.bilibili.com/video/av56306506,【仙爷】干货！让你老10岁的错误底妆画法！教你“抛光式瓷肌底妆”必杀技！,80.8万,436,笑cry的小仙爷
https://www.bilibili.com/video/av62627802,目睹黑头被挤出的过程！这酸爽~~~密集恐惧症慎入！,79.8万,452,胖詹要好好学习
https://www.bilibili.com/video/av55381941,新手必看！嘴角涂不好？嘴唇内侧不上色？所有问题一次解决！超实用小tips，教你涂出完美口红！,79.2万,942,一口老兔
https://www.bilibili.com/video/av58096870,攒了3年钱去做鼻子 结果手术失败|鼻综合的惨痛经历|整容真的有风险啊,77.8万,6053,努力的子安鹅
https://www.bilibili.com/video/av57686829,女生如何改造自己做个精致的小仙女！日常好物分享（拉美桑为何比拉宏桑好看？）,77.7万,2294,拉宏桑
https://www.bilibili.com/video/av55565122,【栗老师】130斤的油画风妆容，圆脸少女的小小高级感,77.2万,3880,栗子没有小蛮腰啦
https://www.bilibili.com/video/av64602192,国宝级化妆师，毛戈平教我化妆？每一秒都是干货,76.3万,2894,深夜徐老师
https://www.bilibili.com/video/av59256233,过度真实引起舒适？？种草or拔草 | 黄黑皮女孩9只Mac口红热门色号试色,75.7万,1.3万,坚果小哥哥
https://www.bilibili.com/video/av62379571,雷到飙泪！你见过上脸会掉渣的粉底液吗？近期购物分享！,74.6万,7973,nya酱的一生
https://www.bilibili.com/video/av56107944,大佬甜er |「粉红女郎」万人迷陈好仿妆！来一波回忆杀～,73.6万,6698,大佬甜er
https://www.bilibili.com/video/av54542560,Vivekatt的化妆黑历史重现！眼妆巨脏不能近看！皮肤坑洼不平！我的妈呀，自己都吓一跳...,71.7万,1.3万,Vivekatt
https://www.bilibili.com/video/av66120613,小松菜奈仿妆 初秋日系厌世妆分享,71.6万,2416,二门_
https://www.bilibili.com/video/av62640983,美妆界的泥石流！给男人脱腿毛，四款脱毛仪真人实测！,70.7万,2074,老爸评测
https://www.bilibili.com/video/av61283037,化妆成徐峥是一种什么体验？妈妈已经三天没打我了,69.9万,4329,一团熊子
https://www.bilibili.com/video/av56030452,铁一WENDYZ｜突嘴拯救进化史 变美变精致化妆科技干货经验,68.6万,1856,铁一WENDYZ
https://www.bilibili.com/video/av55799549,单眼皮肿泡眼秒变双眼皮眼妆|单眼皮眼妆|单眼皮精致妆容,66.1万,3067,carolyn-GGG
