link,title,publish,publish time,view,danmu,like,toujinbi,collect,repost,follower,author
https://www.bilibili.com/video/av55443085,【党妹】三十变十三！毕业季必须拥有的芒果系JK妆容，成为甜甜山吹女孩！,2019/6/15,8:00:07 PM,6076000,179000,337000,353000,166000,49000,4554000,机智的党妹
https://www.bilibili.com/video/av62420861,【党妹】猛男变妹？40℃高温下在上海五所高校拍16套制服穿搭时需要化的妆,2019/8/6,12:00:45 PM,4169000,89000,410000,469000,159000,48000,4554000,机智的党妹
https://www.bilibili.com/video/av62637356,钢铁直女第一次穿漏肩衫 当场崩溃 好羞耻,2019/8/7,11:23:03 PM,3846000,49000,173000,131000,35000,12000,1849000,假美食po主
https://www.bilibili.com/video/av59755952,美妆博主被偷4w化妆品？00后室友被我送进警局？租房血泪总结【Hania】,2019/7/19,12:45:58 AM,3500000,16000,190000,150000,143000,28000,491000,前进的Hania
https://www.bilibili.com/video/av63236429,给男朋友画李现的仿妆！画完感觉就是李现本人！,2019/8/11,5:50:06 PM,3120000,16000,109000,20000,9553,4304,1154000,女胖胖
https://www.bilibili.com/video/av55748113,法式少女妆｜关于我对法国文艺电影的幻想_做一天的洛丽塔,2019/6/16,11:07:43 AM,1706000,6048,113000,88000,104000,17000,101000,朵朵花林
https://www.bilibili.com/video/av56105923,德国真人芭比，也太漂亮了吧。,2019/6/19,7:20:23 PM,1525000,1320,23000,9805,42000,3297,1049,够拽就行
https://www.bilibili.com/video/av61545437,今天尝试一下年轻人喜欢的锡纸烫，有变年轻吗,2019/7/31,12:36:41 PM,1519000,2422,73000,30000,7237,8821,153000,鮀城大叔
https://www.bilibili.com/video/av64648470,长了一张&quot;小三脸&quot;是什么经历|被问多少钱？  by青云红衅,2019/8/21,6:05:14 PM,1500000,3820,41000,8290,11000,2767,179000,青云红衅
https://www.bilibili.com/video/av64897616,洋垃圾品牌大扒皮 想来赚中国人的钱先学会尊重我们吧【星星】,2019/8/22,8:40:02 PM,1420000,5003,170000,137000,40000,3799,567000,RachelR星星
https://www.bilibili.com/video/av58792267,挑战-体验评分最低美妆服务,2019/7/11,10:10:57 PM,1270000,8519,56000,22000,10000,9795,22000,胡老吃
https://www.bilibili.com/video/av55758060,直男第一次穿Lolita 老爸反应一言难尽 红发腮红妆 染发 搞笑,2019/6/16,7:00:20 PM,1233000,53000,83000,82000,23000,6034,1849000,假美食po主
https://www.bilibili.com/video/av64446097,毛戈平亲手帮我改妆？大妈变少女，整容级化妆术！,2019/8/19,8:52:01 PM,1209000,6986,55000,27000,41000,18000,616000,深夜徐老师
https://www.bilibili.com/video/av61074462,钢铁直女穿着Lo装滑着滑板去超市买可乐 被问是什么打扮 夏日草莓元气妆容,2019/7/28,7:00:08 PM,1205000,20000,76000,55000,13000,3436,1849000,假美食po主
https://www.bilibili.com/video/av55908001,【易烫】我花了一万块在毛戈平学校学习了逆天回春上镜塑颜大法？,2019/6/17,8:14:10 PM,1203000,3587,51000,39000,89000,5029,803000,易烫YCC
https://www.bilibili.com/video/av57367344,【晴晴】学了四个月花费5万+的特效化妆能做到什么【结业设计：白骨夫人】,2019/6/30,8:17:57 PM,1194000,4943,124000,95000,47000,6918,866000,o小庄o
https://www.bilibili.com/video/av61741250,这就是李佳琪说的高级的颜色？|欧莱雅小钢笔129|试色,2019/8/1,10:15:52 PM,1182000,755,11000,2012,10000,1425,21000,_saysay
https://www.bilibili.com/video/av60581649,【韩国女团化妆vlog】我找到了给韩国女团操刀“换脸”的神仙手！两千块一个妆到底值不值？！！,2019/7/24,7:20:23 PM,1160000,5448,18000,4556,20000,6073,26000,痣多馨Koko
https://www.bilibili.com/video/av55891180,8个技巧立马让你脸更好看【让下颚线变得更明显】,2019/6/17,5:44:28 PM,1141000,7820,48000,24000,36000,3521,1440000,郝给力
https://www.bilibili.com/video/av63089187,工作人员居然偷我东西！水光针居然也有这么大坑！我报警维权了！,2019/8/10,7:33:06 PM,1106000,3812,33000,14000,9362,1474,382000,付曦冉
https://www.bilibili.com/video/av56850959,想烫羊毛卷的姐妹们进来 让你死心,2019/6/26,5:21:39 AM,1101000,2966,30000,6207,5684,8346,1962,汐酱汁捞饭
https://www.bilibili.com/video/av57967853,【5分钟】教你快速毁灭黑头！这么做，活该鼻子成蜂窝！,2019/7/5,7:32:14 PM,1060000,3040,37000,19000,56000,2056,456000,马戏糍
https://www.bilibili.com/video/av58810287,杀马特妆容教学,2019/7/12,12:00:44 PM,1054000,57000,83000,68000,28000,8630,2116000,花少北丶
https://www.bilibili.com/video/av57327237,今日A爆全场! 轻欧美攻气妆容 军装风lo 断眉皮手套哥特风,2019/6/30,7:00:28 PM,1031000,25000,65000,51000,16000,2960,1849000,假美食po主
https://www.bilibili.com/video/av64426499,男生变帅教程！真的是一个人!谈谈我是怎么变帅的吧。（本视频涉及正畸，护肤，化妆，配饰，发型）,2019/8/19,6:59:26 PM,1017000,1457,11000,4456,19000,1760,10000,tsrtv
https://www.bilibili.com/video/av55821145,肥曈 | 暴躁种草 平价粉底/护肤/牛仔裤/生活用品,2019/6/17,12:00:42 PM,983000,17000,34000,20000,7490,1157,1365000,活蹦乱跳的肥曈
https://www.bilibili.com/video/av64239555,这可能是你从未见过的恐怖粉刺,2019/8/18,12:18:16 PM,981000,140,709,52,294,140,76,怪人找未来Q
https://www.bilibili.com/video/av55971702,上学瞒着父母去做了下颌角，颧骨，双眼皮手术，回家都不认识自己了,2019/6/18,1:10:51 PM,972000,602,3392,190,2040,693,1700,整形热搜君
https://www.bilibili.com/video/av55217908,【党妹神颜欣赏】看到封面你还信吗！,2019/6/11,1:08:14 AM,906000,1705,14000,4212,11000,1893,373,游在森林的鱼啦
https://www.bilibili.com/video/av54683453,去你的国货不行就要认！国货挺好！,2019/6/6,10:40:29 AM,906000,8778,36000,25000,18000,1514,189000,雀斑一针
https://www.bilibili.com/video/av65674448,姐姐给胖弟弟化妆 弟弟中途情感爆发 哭了好几次,2019/8/30,7:00:07 PM,882000,7788,35000,16000,3555,1869,1849000,假美食po主
https://www.bilibili.com/video/av64599355,化妆师钦点 超好用的化妆神器！揭秘我的化妆包里有什么！,2019/8/20,9:30:10 PM,873000,5180,79000,66000,57000,2303,1151000,笑cry的小仙爷
https://www.bilibili.com/video/av55386999,肥曈 | 雷品吐槽 痛彻心扉 与我八字不合的产品们,2019/6/13,12:00:08 PM,863000,15000,33000,19000,4242,1360,1365000,活蹦乱跳的肥曈
https://www.bilibili.com/video/av56329434,我竟然买了粉丝劝我千万别买的口红【nya酱】,2019/6/21,8:45:46 PM,836000,26000,31000,19000,4847,2439,1388000,nya酱的一生
https://www.bilibili.com/video/av64117783,【小丽】边化妆边聊天 读豆瓣小组对我的扒皮 &amp; 橘色系妆容 锡纸烫爆炸头初体验,2019/8/17,7:00:56 PM,830000,23000,24000,17000,4673,1011,578000,GLR_G
https://www.bilibili.com/video/av66009924,深扒月销10万＋的白菜价美白精华，到底有多少猫腻？,2019/8/31,12:00:29 PM,810000,2708,90000,89000,28000,3775,994000,老爸评测
https://www.bilibili.com/video/av56306506,【仙爷】干货！让你老10岁的错误底妆画法！教你“抛光式瓷肌底妆”必杀技！,2019/6/21,8:05:26 PM,808000,436,45000,31000,61000,2827,1151000,笑cry的小仙爷
https://www.bilibili.com/video/av62627802,目睹黑头被挤出的过程！这酸爽~~~密集恐惧症慎入！,2019/8/7,8:05:35 PM,798000,452,1331,127,388,41,21000,胖詹要好好学习
https://www.bilibili.com/video/av55381941,新手必看！嘴角涂不好？嘴唇内侧不上色？所有问题一次解决！超实用小tips，教你涂出完美口红！,2019/6/12,8:15:34 PM,792000,942,19000,5804,26000,1374,73000,一口老兔
https://www.bilibili.com/video/av58096870,攒了3年钱去做鼻子 结果手术失败|鼻综合的惨痛经历|整容真的有风险啊,2019/7/6,8:14:39 PM,778000,6053,8608,2882,3205,1028,205000,努力的子安鹅
https://www.bilibili.com/video/av57686829,女生如何改造自己做个精致的小仙女！日常好物分享（拉美桑为何比拉宏桑好看？）,2019/7/3,7:33:36 PM,777000,2294,26000,5043,3508,332,1585000,拉宏桑
https://www.bilibili.com/video/av55565122,【栗老师】130斤的油画风妆容，圆脸少女的小小高级感,2019/6/14,7:31:19 PM,772000,3880,22000,12000,23000,3243,798000,栗子没有小蛮腰啦
https://www.bilibili.com/video/av64602192,国宝级化妆师，毛戈平教我化妆？每一秒都是干货,2019/8/20,10:51:15 PM,763000,2894,36000,19000,46000,6074,616000,深夜徐老师
https://www.bilibili.com/video/av59256233,过度真实引起舒适？？种草or拔草 | 黄黑皮女孩9只Mac口红热门色号试色,2019/7/17,7:05:22 PM,757000,13000,9219,7768,8215,663,177000,坚果小哥哥
https://www.bilibili.com/video/av62379571,雷到飙泪！你见过上脸会掉渣的粉底液吗？近期购物分享！,2019/8/5,11:20:32 PM,746000,7973,27000,14000,4494,420,1388000,nya酱的一生
