0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
1,影   流   之   主,40458000,23000.0,715000.0,504000.0,0,0,0,0,13,
2,我被告知跟我22年的名字我不能用要我改名！我如何维权的！,24050000,7195000.0,3829000.0,1339000.0,1,2,1,1,28,['22年']
3,不能我一个人笑死，都给我点进来听【黄晓明】唱歌！,12644000,8292.0,392000.0,274000.0,1,3,0,0,24,
4,这段视频我将珍藏一生，是我永远的快乐源泉~看一次我都笑一次,12215000,145000.0,395000.0,406000.0,0,1,0,0,29,
5,抖音外放是吧！还开到最大是吧！,11575000,26000.0,676000.0,367000.0,3,2,0,0,15,
6,我花了五十*10000盖了一所希望小学！我有史以来最贵的视频！,10688000,7195000.0,2317000.0,671000.0,1,3,1,0,31,['10000盖']
7,吃饭喝水千*10000别看哈哈哈,7133000,8445.0,240000.0,216000.0,1,1,1,0,16,['10000别看']
8,花一*10000六买五十个b站福袋开箱，全部送给大家!,7045000,7196000.0,890000.0,298000.0,0,2,1,0,27,['10000六买']
9,小伙怒买全国最贵榨菜！售价近九百的榨菜比两块的更好吃？,6948000,7196000.0,375000.0,49000.0,1,2,0,1,27,
10,鬼:“是不是玩不起！”,6607000,5490.0,213000.0,118000.0,0,1,0,0,11,
11,其实这阿姨30多了，但是我不介意,6580000,5538.0,46000.0,31000.0,0,0,1,0,16,['30多']
12,和大家一起看搞笑视频【999期】,6566000,3389000.0,311000.0,53000.0,0,2,1,0,16,['999期']
13,试吃全网最贵盆菜！吃完表面名贵食材后傻眼了！,6192000,7196000.0,252000.0,32000.0,0,2,0,0,22,
14,窝窝头一块钱四个 原版视频,5899000,2102.0,92000.0,51000.0,0,0,0,0,13,
15,【美人鱼名场面】乔碧萝殿下粉丝的诉苦,5739000,86000.0,379000.0,164000.0,1,2,0,0,18,
16,原来长的好不好看与体重无关,5428000,3824.0,39000.0,24000.0,1,0,0,0,13,
17,【令人喷饭 番外】新闻联播怼的你灰头土脸、哑口无言，我还气定神闲,5336000,5835000.0,540000.0,111000.0,0,2,0,0,32,
18,【朱一旦】36 惯的太久了，得治治！,5330000,2550000.0,184000.0,48000.0,0,3,1,0,18,['36惯']
19,Mix晴子PK乔碧萝殿下，不慎“露脸”连麦【完整版】,5170000,2104.0,72000.0,52000.0,0,2,0,0,26,
20,挑战牛欢喜刺身！正常做牛欢喜非常好吃比刺身好太多了！,4976000,7196000.0,231000.0,31000.0,5,2,0,0,26,
21,【朱一旦】33 旦我，像爱惜羽毛一样爱惜人才,4899000,2549000.0,142000.0,26000.0,0,2,1,0,22,['33旦']
22,我太难了（原版）,4889000,1238.0,66000.0,62000.0,0,0,0,0,8,
23,如何用一个门铃将你的室友逼疯,4809000,345000.0,424000.0,125000.0,0,0,0,1,14,
24,我说话只用一秒,4789000,2838.0,200000.0,124000.0,0,0,0,0,7,
25,【老番茄】我去做化妆师啦！,4615000,7692000.0,419000.0,121000.0,0,3,0,0,13,
26,如何快速毁掉一个人一天的好心情:),4601000,8393.0,143000.0,165000.0,1,0,0,1,17,
27,人类迷惑行为大赏,4552000,7740.0,127000.0,89000.0,1,0,0,0,8,
28,新闻联播的主播都能让你给逗笑了，了不起了不起,4474000,5836000.0,131000.0,30000.0,2,0,0,0,22,
29,武 器 大 师,4430000,724.0,46000.0,52000.0,0,0,0,0,7,
30,父爱如山崩地裂。,4243000,6846.0,168000.0,102000.0,0,0,0,0,8,
31,乔碧萝殿下在直播间唱《我是安琪拉》,4156000,977.0,23000.0,6679.0,0,0,0,0,17,
32,被网友喷把盆菜当佛跳墙！又回一罐五百的佛跳墙又翻车了！,4126000,7196000.0,161000.0,16000.0,0,2,0,0,27,
33,papi酱的周一放送——你说话滴水不漏，我挑刺见缝插针,4123000,5849000.0,212000.0,41000.0,0,0,0,0,27,
34,您好，今天您苏卡了吗？,4036000,1669.0,107000.0,89000.0,0,1,0,1,11,
35,这个视频已经笑死46亿人了，慎入……,4022000,12000.0,179000.0,106000.0,0,0,1,0,18,['46亿人慎入']
36,这，就是艺术,3993000,26000.0,148000.0,27000.0,1,0,0,0,6,
37,来自母亲的一记平A打断回城,3968000,709.0,32000.0,28000.0,1,0,0,0,13,
38,【卢本伟＆乔碧萝殿下】给阿姨倒一杯卡布奇诺，开始你的炸弹秀,3814000,13000.0,255000.0,100000.0,0,2,0,0,29,
39,【朱一旦】42 拓展了非洲的版权业务，想起来还有点小骄傲,3809000,2550000.0,111000.0,15000.0,1,2,1,0,28,['42拓展']
40,表情包女神终于找到了,3745000,2982.0,15000.0,15000.0,0,0,0,0,10,
41,这是我买的世界最大的月饼！一个月饼够我吃一个月了！,3736000,7196000.0,215000.0,20000.0,1,2,0,0,25,
42,【朱一旦】50 据说每个公司都有个小群,3736000,2550000.0,133000.0,16000.0,0,2,1,0,19,['50据说']
43,【朱一旦】54 看他面对豪车不动声色的样子，我笑出了声,3735000,2549000.0,68000.0,5129.0,0,2,1,0,27,['54看']
44,室友打王者晋级赛输了 我现在很慌 谁来救我,3729000,4004.0,60000.0,34000.0,0,0,0,0,21,
45,（全程高能）不笑算我。。。霓码这谁憋的住啊啊啊啊啊,3723000,3313.0,64000.0,32000.0,2,0,0,0,25,
46,影 流 之 主 （ 完 全 版 ）,3709000,982.0,40000.0,21000.0,0,0,0,0,17,
47,豹：这狗把爷给整懵了,3691000,7740.0,82000.0,43000.0,0,0,0,0,10,
48,【朱一旦】37 暴发户要去英国避暑，他认真的样子，很酷,3679000,2549000.0,93000.0,12000.0,1,2,1,0,27,['37暴发户']
49,挑战人类磨牙棒可食用餐具！感觉这东西做出来就是浪费粮食,3559000,7196000.0,149000.0,17000.0,3,1,0,0,27,
50,【朱一旦】49 偶尔也想当一把霸道总裁,3554000,2550000.0,74000.0,7294.0,0,2,1,0,19,['49偶尔']
51,别舔了别舔了,3514000,2154.0,153000.0,129000.0,0,0,0,0,6,
52,【开学时】学长学姐眼中的新生吃饭，新生眼中的学长学姐吃饭,3508000,19000.0,152000.0,40000.0,0,2,0,0,28,
53,小伙参观世警会坐进了装甲车！跟警察吃饭收到西班牙警察的礼物,3504000,7195000.0,187000.0,19000.0,0,1,0,0,29,
54,ikun们看了气炸的高级黑（滑稽）,3496000,5564.0,215000.0,73000.0,2,0,0,0,17,
55,用顶级波士顿龙虾做醉虾！肉是红的吓得小伙竟不敢下口,3478000,7195000.0,144000.0,15000.0,0,1,0,0,25,
56,太热了,3477000,5631.0,133000.0,89000.0,0,0,0,0,3,
57,【前方高能】史上最最欠揍的电话推销员，有本事顺到电话线来打我呀！,3468000,1286000.0,377000.0,100000.0,2,3,0,0,32,
58,【朱一旦】57 摘下劳力士让他戴了一分钟，他立刻现出原形,3402000,2550000.0,66000.0,5540.0,0,2,1,0,28,['57摘下']
59,牙买加妈妈知道孩子被霸凌后 痛斥孩子叫他杀回去，最后还是不放心，自己打电话给对方家长约战,3399000,607000.0,146000.0,85000.0,2,0,0,0,44,
60,如何让黄晓明学会尊重!!(并提高智商),3380000,139000.0,302000.0,84000.0,3,2,0,1,19,
61,99%的人在qq中会遇到的迷惑行为,3353000,42000.0,307000.0,52000.0,1,0,0,0,17,
62,当家里的宠物逐渐JOJO化。。。,3349000,37000.0,123000.0,80000.0,0,0,0,0,16,
63,滚 我…… 按个楼层而已,3328000,506.0,30000.0,20000.0,0,0,0,0,12,
64,抢走你的女朋友你会怎做--YouTube千*10000播放量恶搞视频,3326000,5836.0,68000.0,29000.0,2,3,1,0,34,['10000播放']
65,【朱一旦】48 暴发户的创意总是那么与众不同,3322000,2550000.0,120000.0,19000.0,0,2,1,0,22,['48暴发户']
66,【朱一旦】32 挚友来找我帮忙，我一个电话就打给了酒肉朋友,3291000,2550000.0,49000.0,5217.0,0,2,1,0,29,['32挚友']
67,【朱一旦】47 究竟是谁套路了我，而我，又套路了谁？,3290000,2550000.0,63000.0,5415.0,0,3,1,1,26,['47究竟']
68,高能！他还是来了那个让网易云评论全是卧槽的男人还是来了,3268000,11000.0,144000.0,73000.0,0,1,0,0,27,
69,开箱1600买的“电击手环”，订好闹钟直接用电击，百分百起床神器,3253000,5009000.0,164000.0,19000.0,2,0,1,0,32,['1600买']
70,挑战特产臭鸭蛋吃十颗！比鲱鱼罐头还臭一闻感觉就想吐,3244000,7196000.0,179000.0,22000.0,1,1,0,0,25,
71,交了辞职稿就是这么任性,3193000,884.0,79000.0,45000.0,2,0,0,0,11,
72,【朱一旦】43 例行开除可能会迟到，旦是永远不会缺席,3188000,2550000.0,62000.0,5237.0,4,2,1,0,26,['43例行']
73,女 版 卢 本 伟,3175000,2193.0,94000.0,52000.0,0,0,0,0,9,
74,【华农蹦迪】自带水泥，村口集合！当华农兄弟扭臀遇上各种bgm，你们要的魔性鬼畜,3168000,16000.0,174000.0,53000.0,0,3,0,0,39,
75,拒绝黑化，挑战抖音小学生！！！,3155000,214000.0,224000.0,62000.0,2,3,0,0,15,
76,【朱一旦】30 享受了一小时的音乐洗礼，有钱人的生活，往往离不开艺术,3117000,2549000.0,48000.0,4901.0,3,2,1,0,34,['30享受']
77,【朱一旦】38 帮侄子拼了个对象，没想到竟如此枯燥！,3102000,2550000.0,82000.0,8409.0,1,3,1,0,26,['38帮']
78,网友自制陪喝酒机器,3080000,22000.0,127000.0,104000.0,0,0,0,0,9,
79,舔 羊 阿 沸,3059000,6179.0,129000.0,72000.0,0,0,0,0,7,
80,2000元住一晚的总统套房有多豪华？？,3004000,3389000.0,254000.0,37000.0,1,2,1,1,19,['2000元住']
81,白嫖使我快乐 网络上那些能笑死人的沙雕图（第20期）,2994000,5946.0,183000.0,24000.0,1,0,1,0,26,['20期']
82,醒醒，你是雕，不是沙雕！,2968000,1688.0,108000.0,52000.0,1,1,0,0,12,
83,【朱一旦】35 草莽义气，大得过钱？和酒肉朋友一起沉迷@逆水寒,2959000,2550000.0,86000.0,11000.0,0,4,1,1,31,['35草莽']
84,【朱一旦】39 旦梦空间,2957000,2550000.0,74000.0,6615.0,0,2,1,0,12,['39旦']
85,影 流 教 派,2888000,5109.0,20000.0,11000.0,0,0,0,0,7,
86,逼守望先锋声优在网吧怒吼大招！！引来全场围观，瞬间自闭！！,2873000,325000.0,178000.0,56000.0,1,4,0,0,29,
