0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
1,【党妹】三十变十三！毕业季必须拥有的芒果系JK妆容，成为甜甜山吹女孩！,6076000,4554000,337000,166000,2,4,0,0,35,
2,【党妹】猛男变妹？40℃高温下在上海五所高校拍16套制服穿搭时需要化的妆,4169000,4554000,410000,159000,1,3,2,1,36,"['40℃', '16套']"
3,钢铁直女第一次穿漏肩衫 当场崩溃 好羞耻,3846000,1849000,173000,35000,2,0,0,0,20,
4,美妆博主被偷4w化妆品？00后室友被我送进警局？租房血泪总结【Hania】,3500000,491000,190000,143000,0,4,1,1,37,['00后']
5,给男朋友画李现的仿妆！画完感觉就是李现本人！,3120000,1154000,109000,9553,0,2,0,0,22,
6,法式少女妆｜关于我对法国文艺电影的幻想_做一天的洛丽塔,1706000,101000,113000,104000,1,0,0,0,27,
7,德国真人芭比，也太漂亮了吧。,1525000,1049,23000,42000,1,0,0,0,14,
8,今天尝试一下年轻人喜欢的锡纸烫，有变年轻吗,1519000,153000,73000,7237,1,0,0,1,21,
9,长了一张&quot;小三脸&quot;是什么经历|被问多少钱？  by青云红衅,1500000,179000,41000,11000,0,4,0,1,39,
10,洋垃圾品牌大扒皮 想来赚中国人的钱先学会尊重我们吧【星星】,1420000,567000,170000,40000,3,2,0,0,29,
11,挑战-体验评分最低美妆服务,1270000,22000,56000,10000,2,1,0,0,13,
12,直男第一次穿Lolita 老爸反应一言难尽 红发腮红妆 染发 搞笑,1233000,1849000,83000,23000,0,0,0,0,33,
13,毛戈平亲手帮我改妆？大妈变少女，整容级化妆术！,1209000,616000,55000,41000,0,2,0,1,23,
14,钢铁直女穿着Lo装滑着滑板去超市买可乐 被问是什么打扮 夏日草莓元气妆容,1205000,1849000,76000,13000,0,0,0,0,36,
15,【易烫】我花了一万块在毛戈平学校学习了逆天回春上镜塑颜大法？,1203000,803000,51000,89000,1,3,0,1,30,
16,【晴晴】学了四个月花费5万+的特效化妆能做到什么【结业设计：白骨夫人】,1194000,866000,124000,47000,0,4,1,0,35,['5万']
17,这就是李佳琪说的高级的颜色？|欧莱雅小钢笔129|试色,1182000,21000,11000,10000,1,3,1,1,27,['129|']
18,【韩国女团化妆vlog】我找到了给韩国女团操刀“换脸”的神仙手！两千块一个妆到底值不值？！！,1160000,26000,18000,20000,0,6,0,1,46,
19,8个技巧立马让你脸更好看【让下颚线变得更明显】,1141000,1440000,48000,36000,2,2,1,0,23,['8个']
20,工作人员居然偷我东西！水光针居然也有这么大坑！我报警维权了！,1106000,382000,33000,9362,3,3,0,0,30,
21,想烫羊毛卷的姐妹们进来 让你死心,1101000,1962,30000,5684,1,0,0,0,16,
22,【5分钟】教你快速毁灭黑头！这么做，活该鼻子成蜂窝！,1060000,456000,37000,56000,2,4,1,0,26,['5分钟']
23,杀马特妆容教学,1054000,2116000,83000,28000,0,0,0,0,7,
24,今日A爆全场! 轻欧美攻气妆容 军装风lo 断眉皮手套哥特风,1031000,1849000,65000,16000,0,1,0,0,30,
25,男生变帅教程！真的是一个人!谈谈我是怎么变帅的吧。（本视频涉及正畸，护肤，化妆，配饰，发型）,1017000,10000,11000,19000,1,2,0,1,46,
26,肥曈 | 暴躁种草 平价粉底/护肤/牛仔裤/生活用品,983000,1365000,34000,7490,1,1,0,0,26,
27,这可能是你从未见过的恐怖粉刺,981000,76,709,294,1,0,0,0,14,
28,上学瞒着父母去做了下颌角，颧骨，双眼皮手术，回家都不认识自己了,972000,1700,3392,2040,0,0,0,0,31,
29,【党妹神颜欣赏】看到封面你还信吗！,906000,373,14000,11000,1,3,0,1,17,
30,去你的国货不行就要认！国货挺好！,906000,189000,36000,18000,0,2,0,0,16,
31,姐姐给胖弟弟化妆 弟弟中途情感爆发 哭了好几次,882000,1849000,35000,3555,1,0,0,0,23,
32,化妆师钦点 超好用的化妆神器！揭秘我的化妆包里有什么！,873000,1151000,79000,57000,1,2,0,0,27,
33,肥曈 | 雷品吐槽 痛彻心扉 与我八字不合的产品们,863000,1365000,33000,4242,1,1,0,0,25,
34,我竟然买了粉丝劝我千万别买的口红【nya酱】,836000,1388000,31000,4847,1,2,0,0,22,
35,【小丽】边化妆边聊天 读豆瓣小组对我的扒皮 &amp; 橘色系妆容 锡纸烫爆炸头初体验,830000,578000,24000,4673,1,3,0,0,43,
36,深扒月销10万＋的白菜价美白精华，到底有多少猫腻？,810000,994000,90000,28000,0,1,1,1,25,['10万']
37,【仙爷】干货！让你老10岁的错误底妆画法！教你“抛光式瓷肌底妆”必杀技！,808000,1151000,45000,61000,1,5,1,0,36,['10岁']
38,目睹黑头被挤出的过程！这酸爽~~~密集恐惧症慎入！,798000,21000,1331,388,0,5,0,0,25,
39,新手必看！嘴角涂不好？嘴唇内侧不上色？所有问题一次解决！超实用小tips，教你涂出完美口红！,792000,73000,19000,26000,7,5,0,1,46,
40,攒了3年钱去做鼻子 结果手术失败|鼻综合的惨痛经历|整容真的有风险啊,778000,205000,8608,3205,3,2,1,0,34,['3年']
41,女生如何改造自己做个精致的小仙女！日常好物分享（拉美桑为何比拉宏桑好看？）,777000,1585000,26000,3508,1,2,0,1,37,
42,【栗老师】130斤的油画风妆容，圆脸少女的小小高级感,772000,798000,22000,23000,1,2,1,0,26,['130斤']
43,国宝级化妆师，毛戈平教我化妆？每一秒都是干货,763000,616000,36000,46000,0,1,0,1,22,
44,过度真实引起舒适？？种草or拔草 | 黄黑皮女孩9只Mac口红热门色号试色,757000,177000,9219,8215,3,3,1,1,37,['9只']
45,雷到飙泪！你见过上脸会掉渣的粉底液吗？近期购物分享！,746000,1388000,27000,4494,0,3,0,1,26,
46,大佬甜er |「粉红女郎」万人迷陈好仿妆！来一波回忆杀～,736000,957000,70000,15000,0,3,0,0,28,
47,Vivekatt的化妆黑历史重现！眼妆巨脏不能近看！皮肤坑洼不平！我的妈呀，自己都吓一跳...,717000,1407000,25000,4550,3,3,0,0,47,
48,小松菜奈仿妆 初秋日系厌世妆分享,716000,374000,15000,16000,0,0,0,0,16,
49,美妆界的泥石流！给男人脱腿毛，四款脱毛仪真人实测！,707000,994000,28000,9854,0,2,0,0,25,
50,化妆成徐峥是一种什么体验？妈妈已经三天没打我了,699000,66000,39000,7599,0,1,0,1,23,
51,铁一WENDYZ｜突嘴拯救进化史 变美变精致化妆科技干货经验,686000,312000,25000,35000,2,0,0,0,30,
52,单眼皮肿泡眼秒变双眼皮眼妆|单眼皮眼妆|单眼皮精致妆容,661000,62000,16000,23000,1,2,0,0,27,
53,【韩国美妆】光是看看就很满足!Romand创始人闵赛伦的干燥玫瑰色口红/唇釉推荐+上妆技巧♡Saerom Min,658000,344000,16000,33000,3,3,0,0,56,
54,花3000块请日本化妆师，把我化成“石原里美”,651000,616000,25000,12000,0,0,1,0,23,['3000块']
55,干货满满,642000,197,222,625,0,0,0,0,4,
56,BUYI | 软萌哭哭妆 | 从猛汉落泪到仙女式哭泣的距离 就是这一个视频,629000,294000,21000,31000,2,2,0,0,37,
57,小出租房里的简易粗暴夜间护肤!【nya酱】,609000,1388000,16000,2220,2,3,0,0,21,
58,夏日橘子汽水妆,599000,183000,18000,4339,0,0,0,0,7,
59,【超燃】百元向 | 我不允许你不知道的国货top9！,592000,2025000,37000,18000,1,4,0,0,26,
60,【维维】震撼我全家的职业化妆师手法！68元的Jennie仿妆究竟值不值？化妆店探店vlog,586000,44000,9875,4403,1,4,1,1,45,['68元']
61,【韩国科普向】10分钟，完全祛除黑头的简单方法！【朴鸣】,569000,405000,26000,53000,0,5,1,0,28,['10分钟']
62,国货！该醒了！那些丑哭了的良心国货！,559000,148000,24000,30000,1,3,0,0,18,
63,【嫂 】平采娜仿妆 | 国风感红唇妆 | 评论说我像小水，仿了才发现，只有性别像。,548000,2025000,30000,4775,0,4,0,0,41,
64,天呐！人间水蜜桃！怎么可以这么软！20块8个！蜜桃美妆蛋,546000,133,1839,2289,0,4,2,1,28,"['20块', '8个']"
65,学生党好物分享，争取做街上最亮的崽！,545000,1585000,43000,5143,0,1,0,0,18,
66,【SamChak】极简！大眼术 | 戴眼镜必看！一步到位帮你解决鼻部脱妆，眼睛变形~热出油的夏天！你值得拥有！,543000,321000,34000,38000,2,8,0,0,55,
67,宅男发型大改造！2019最受女生喜欢的男生短发发型，细软发质救星,539000,52000,1199,2230,1,1,1,0,32,['2019最受']
68,【酒栗】10款国货粉底液红黑榜 平价挖到宝！（无广）,536000,411000,25000,15000,0,3,1,0,26,['10款']
69,这一年我是如何一步步走向秃头女孩的深渊！14种染发漂发剂大放送！,533000,97000,30000,26000,2,2,1,1,32,['14种']
70,【zuzu】复古港风妆| 路人秒变王祖贤 风情又少女,532000,186000,16000,24000,0,3,0,0,26,
71,超全隆鼻干货/从小被说丑八怪，自卑隆鼻又失败/经历分享/还不做功课？别学我没做好功课被坑做3次鼻子/干货分享,530000,61000,20000,12000,3,1,1,1,54,['3次']
72,【胡老吃】找了毛戈平的柜姐帮我化妆，结果竟然......,528000,22000,3792,2164,1,2,0,0,28,
73,表情管理的小技巧,526000,25000,26000,39000,2,0,0,0,8,
74,有手就会扎！简单却不失俏皮可爱的夏日清凉发型,521000,280000,55000,72000,1,1,0,0,22,
75,小伙颜值高 长的帅 随便剪了一款三七侧背 小鲜肉变型男,512000,57000,1563,1440,1,0,0,0,27,
76,女团心机编发教程2.0 | 发饰妙用 6款百搭可爱酷飒/淑女编发 【一枝南南】,511000,518000,26000,51000,2,3,2,0,39,"['20|', '6款百搭']"
77,空瓶就一定好用的吗？没准空的是青铜呢～我的空瓶大分享！【nya酱】,500000,1388000,19000,2920,0,5,0,1,33,
78,再次合体，找我妹帮我化个妆，咱俩到底像不像？大胖和软软 假美食po主 vlog 美妆,495000,902000,14000,1712,0,1,0,1,42,
79,【0基础快速】手动磨皮底妆大法|严重痘肌也能拥有自然小清新,491000,280000,42000,28000,3,3,1,0,29,['0基础']
80,让男友帮我化个粉嫩少女妆，会翻车嘛？【知名盲人UP主美妆首秀】,491000,1066000,26000,4124,0,3,0,1,31,
81,欠债+差点儿毁容/千万别抽脂：超级可怕失败的抽脂经历,491000,61000,15000,4075,4,0,0,0,26,
82,改掉让人变丑的三个习惯|一周拥有侧颜杀|假期逆袭偷偷变美,490000,25000,13000,25000,3,2,0,0,28,
83,【超清】这是我见过的最奢华的唇妆！没有之一！,488000,5286,7108,3864,2,4,0,0,22,
84,碧梨仿妆✧《Bad Guy》踩点向,479000,373000,23000,15000,0,0,0,0,17,
85,夏季清新粉色系 ”初恋脸” 妆容！肿单也可以轻松分驾驭的粉色眼影！,475000,1407000,24000,15000,1,2,0,0,33,
86,【梨】8年化妆师，总结的10个冷门化妆技巧 / 垃圾眼影盘再利用,469000,111000,32000,50000,3,2,2,0,32,"['8年', '10个']"
87,【言生】敖丙 哪吒之魔童降世 cos,469000,590000,35000,15000,0,2,0,0,18,
88,我盲涂了十款国货唇釉！到底哪些真的值得买？【nya酱】,466000,1388000,22000,5262,0,4,0,1,27,
89,让直男测评我的粉底液！和男票的“浪漫”约会记录！【nya酱】,455000,1388000,19000,3141,1,4,0,0,30,
90,【开学大作战！自己一周时间变美】肿眼泡/单眼皮/内双福音！,453000,12000,16000,46000,1,4,0,0,29,
91,男生发型为什么每次理发都是剃两边，试试这个方法就不用剃,451000,52000,1263,1365,0,0,0,1,27,
92,【平价向|绝不可错过的618清单】这一波没看就是血亏，看到就是赚到。,450000,2025000,39000,16000,2,3,1,0,34,['618清单']
93,【大嫂vlog】毛戈平在线换头现场！满满干货，从素颜小白到港风女神！,448000,95000,8983,11000,0,4,0,0,34,
94,明年30岁的我是如何抗老的！【nya酱】,445000,1388000,18000,4501,0,3,1,1,20,['30岁']
95,住个酒店居然得了妇科病？！为什么我不喜欢住酒店？女孩子必看！！！,438000,158000,21000,18000,2,6,0,1,32,
96,【8款夏日日常减龄发型 Rika_花花】清爽元气每天都不一样~,432000,227000,21000,56000,0,3,1,0,31,['8款']
97,【一花】必买好物安利 / 新手和学生党快点开！！,432000,1207000,17000,13000,1,4,0,0,24,
98,近100年来中国女性的妆容演变过程,430000,380,10000,10000,0,0,1,0,17,['100年来']
99,日系女孩 |乌龙蜜茶清透妆容分享,427000,225000,16000,22000,0,1,0,0,16,
100,【助眠】化妆品助眠视频,426000,1018,5333,9575,0,2,0,0,11,
101,【红黑榜】近半年用过的护肤分享||适用于毛孔粗大 内干外油 换季易敏感肤质,422000,2025000,17000,6687,1,4,0,0,37,
102,脑壳给你笑掉！！《西游记》金角银角大王仿妆！！【TreeTree吴】,422000,107000,23000,5717,0,6,0,0,34,
