0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
1,小孩儿：原本想给你留点面子,2220000,820,33000,8426,0,0,0,0,13,
2,改掉脖子前探/头前倾，只需要2个动作，每天5分钟！,2058000,219000,96000,215000,0,1,2,0,25,"['2个', '5分钟']"
3,【纠正体态】3步教你快速告别圆肩驼背!,1971000,639000,90000,158000,0,3,1,0,19,['3步教']
4,【高效瘦】大腿粗的真正原因居然不是胖....躺床10分钟，超易掉肉进阶法汇总！,1627000,457000,68000,138000,3,3,1,0,39,['10分钟']
5,来看看这才是肌肉...,1542000,735,5976,3582,0,0,0,0,11,
6,《流汗吧！健身少女》国产真人完整OP！——杨老师《健身少女》硬核追番05,1463000,464000,114000,51000,2,2,1,0,36,
7,半年增高18cm，我是怎么做到的？内有详细干货！,1423000,68000,54000,90000,1,2,0,1,24,
8,再这样下去，腿可能会越来越短。。。,1419000,84000,49000,98000,0,0,0,0,17,
9,【硬男人体态】6个技巧教你快速矫正圆肩驼背!,1314000,1433000,193000,79000,2,3,1,0,22,['6个']
10,体脂率4%是种什么体验？“干尸人Helmut Strebl”给你答案！,1246000,49000,6114,4713,0,2,0,1,35,
11,【周六野】12分钟瘦腿运动详解！我的瘦腿秘籍！,1226000,3296000,24000,59000,0,4,1,0,23,['12分钟']
12,【3个月减35斤?】10个你必须知道的减脂技巧(新手必看),1174000,639000,46000,52000,3,3,3,1,29,"['3个', '35斤', '10个']"
13,有人评论说我的脸拖了身材的后腿，我太难了,1140000,21000,3004,3099,0,0,0,0,20,
14,中国最便宜的健身房vs中国最贵的健身房 【50块/月vs1000块/月】,1130000,1434000,58000,8142,1,2,1,0,36,['50块']
15,之前在知乎上看过，前两天找了很久才找到.,1100000,433,32000,16000,0,0,0,0,20,
16,【周六野】正确的睡姿，改善腰酸背痛、驼背圆肩！,1096000,3296000,43000,49000,2,3,0,0,23,
17,文弱书生鹿程辉,1086000,2228,1969,1078,0,0,0,0,7,
18,健身不练腿就会这样,1081000,487,822,436,0,0,0,0,9,
19,“榨干”你的脂肪！10分钟新手级HIIT|高强度间歇训练，全身高效减脂|无道具，学生党减肥|美丽芭蕾,1044000,294000,53000,157000,5,4,1,0,50,['10分钟']
20,【资深肥宅如何减脂】宅在家里也能减脂，一学就会！！,1035000,44000,71000,162000,0,4,0,1,25,
21,连续30天每天跑3公里！改变居然这么大？！,1019000,604000,20000,18000,1,3,2,1,21,"['30天', '3公里']"
22,四肢细肚子大，典型瘦胖子体型减肥，需谨记这两个步骤,976000,70000,47000,72000,1,0,0,0,25,
23,健身房中令人震惊的操作（二）,971000,8008,2800,2409,0,0,0,0,14,
24,【小腿能瘦】换个走路姿势，三伏天泡脚，肌肉腿脂肪腿水肿腿1周干掉！,936000,457000,35000,77000,1,3,1,0,33,['1周']
25,当你昨天练了腿,870000,27000,15000,9240,0,0,0,0,7,
26,新手该怎么减脂？,853000,96000,48000,63000,1,1,0,1,8,
27,初二学生火了！网友：这个我喷不了,850000,8668,1455,5166,0,1,0,0,16,
28,【30天暴瘦30斤】DAY16 减肥心态崩溃~健身房失声痛哭，真丢人！学习+工作+生活~压力纷纷而来~但我还是要继续做个阳光的正能量UP！稍作调整，我可以哒！,849000,24000,9306,6172,3,8,2,0,79,"['30天暴', '30天暴']"
29,【健身提升颜值?】7年健身我的脸型变化!如何改善面部轮廓(无手术),842000,639000,31000,29000,2,4,1,1,33,['7年']
30,【你的减脂干货全集】①：一次成功的减脂之前，你必须了解的事情,841000,132000,24000,38000,1,2,1,0,30,['①：']
31,大腿根不再粗壮勒出肉！瘦大腿内侧/腿部线条更纤细修长！,841000,236000,27000,121000,1,2,0,0,27,
32,臀腿拉伸，改善腿型，让腿更美更直更长！【周六野Zoey】,810000,3296000,27000,71000,1,3,0,0,28,
33,【自剪】周六野zoey 瘦大腿根 塑型大腿内侧终极版,789000,9578,14000,107000,0,2,0,0,26,
34,想和琦玉老师一样强大？试试这个6分钟室内快速燃脂训练（无需器械） - Frank Medrano,768000,42000,34000,97000,2,2,1,1,48,['6分钟']
35,【快速消灭小肚子】3步教你减掉顽固脂肪!（新手必看）60天夏日减脂Ep1,758000,639000,25000,36000,4,3,2,0,36,"['3步教', '60天']"
36,【周六野】自卑丑小鸭十年蜕变心路历程和十年后的规划,756000,3296000,27000,7779,1,2,0,0,25,
37,【476个俯卧撑】说到做到，1个赞5个俯卧撑,756000,44000,77000,4607,0,2,3,0,22,"['476个', '1个赞', '5个']"
38,疯狂的强肩训练之后被按翻在地进行激烈的按摩爽到龇牙咧嘴,746000,4186,1948,1435,4,0,0,0,27,
