0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
1,试吃6000元一只的皇帝蟹，再次打破最贵试吃记录！,12374000,3084000,395000,83000,1,1,1,0,25,['6000元']
2,华农兄弟：兄弟送来一只鸽子，整天不吃不喝，只好把它烤了,5888000,4848000,195000,22000,1,0,0,0,27,
3,试吃5000元一只的椰子蟹！蟹膏竟然完爆皇帝蟹！,5772000,3084000,202000,24000,1,2,1,0,24,['5000元']
4,小翔哥又被网友说“不行”，怒买一颗1米长的牛鞭，结果竟超好吃,5498000,5009000,141000,14000,1,0,1,0,30,['1米长']
5,珍珠奶茶煮干会怎样，有多少糖？加水还能变回去吗？,5486000,352000,272000,27000,1,2,0,1,24,
6,华农兄弟：兄弟家这只猪发烧，估计没救了，我们只好帮他烤了,5279000,4848000,168000,13000,2,0,0,0,28,
7,请男朋友吃烧烤！没想到刚进门就直接点了100串！,5225000,1154000,277000,22000,1,2,1,0,24,['100串']
8,华农兄弟：这个竹鼠中暑了，抢救后还是不行，只好拿去河边烤了,5083000,4848000,179000,18000,1,0,0,0,29,
9,试吃比龙虾还贵的巨型皮皮虾，味道堪比皇帝蟹！,5023000,3084000,143000,14000,0,1,0,0,22,
10,华农兄弟：兄弟家这只鸡瘸了，这样下去不行的，帮他拿去河边烤了,4796000,4848000,169000,11000,0,0,0,0,30,
11,小伙点差评最多的外卖，想看下到底有多难吃，结果吃到怀疑人生,4729000,5009000,104000,8863,1,0,0,0,29,
12,怒花3000元只为吃到世界最顶级黄油蟹！皇帝蟹就是弟弟！,4612000,3084000,292000,44000,0,2,1,0,28,['3000元']
13,抖音上那些曝光五香卤料包是真的吗，小伙看之后卤了满满一锅大肉,4483000,5009000,188000,45000,0,0,0,1,30,
14,小翔哥请敬汉卿吃饭一顿就花了4千多，探店成都最贵黑珍珠2钻餐厅,4420000,5009000,165000,16000,0,0,2,0,31,"['4千多', '2钻']"
15,华农兄弟：兄弟来我家，看他最近胖了，烤健身鸡给他吃,4212000,4848000,178000,16000,0,0,0,0,25,
